kepoi_name,median_candidate_probability,lower_90pct,upper_90pct,interval_width,probability_std
K02841.01,0.9177668109997428,0.8706685303293554,0.9335128582214532,0.06284432789209782,0.02057526591126939
K04130.01,0.04911701816260246,0.02030444197071118,0.0829825923156216,0.06267815034491042,0.019621198868017626
K03400.01,0.12032564450383613,0.09736100354514633,0.16003015706127097,0.06266915351612463,0.019637870924768683
K01909.03,0.9497790310967489,0.9189873377652291,0.9815154354926127,0.06252809772738355,0.021061915962867765
K06336.01,0.03464274565493863,0.016719291904031396,0.07915832187769915,0.06243902997366776,0.03081613861878091
K03528.01,0.04210447284291443,0.023842637761496022,0.08596173511917814,0.06211909735768212,0.027120984377368717
K04165.01,0.10524003882447525,0.07890553037828989,0.14099908524182828,0.06209355486353839,0.023476482621012172
K04127.01,0.9168582757780432,0.8827516302225995,0.9447336826292543,0.061982052406654775,0.02094146999613891
K00049.01,0.9201852936891728,0.8804713186429844,0.9423874200831548,0.061916101440170346,0.023150696167171962
K01628.03,0.9492152989765572,0.9112972341809978,0.9730635643094976,0.06176633012849975,0.021388556314111882
K02705.01,0.9472714354269518,0.90684805778421,0.9686097184665277,0.0617616606823177,0.026962022535372693
K00925.01,0.022522433992758335,0.010007647276552867,0.07171792904873925,0.06171028177218638,0.03293077168411047
K02485.01,0.9419014034712512,0.8969586609565086,0.9585753648891905,0.06161670393268193,0.020525891328033577
K06271.01,0.008617836832460205,0.008580629350672685,0.07009087255382947,0.06151024320315678,0.0291737830090787
K07067.01,0.011825822017945613,0.004526304329401073,0.06596770685774979,0.06144140252834872,0.027743589794944436
K03710.01,0.03490690285532355,0.016660991817707242,0.07795907089685038,0.061298079079143135,0.01977268418978761
K03343.01,0.9280724790992744,0.9059419115842082,0.9672377197535454,0.06129580816933722,0.022880499324785464
K02530.01,0.9487075537262056,0.9091044747822024,0.970241391354835,0.06113691657263265,0.018313225345078895
K02741.01,0.0589400301652961,0.03387193877400748,0.09472088674990961,0.06084894797590213,0.01930989065943692
K00650.01,0.9617538192160735,0.9238093823549449,0.9841719279365811,0.06036254558163623,0.019215565428761485
K03719.01,0.07487504907274826,0.020833852450993853,0.08102653043586434,0.06019267798487049,0.01862285687042352
K00992.01,0.9674430439112806,0.9197582785432219,0.9796217039575581,0.0598634254143362,0.019272317960671463
K00671.03,0.9396290909067613,0.9054059861208905,0.9650899847053696,0.05968399858447904,0.01966331682414804
K01994.01,0.013316261366108301,0.007026633217974028,0.06649056832736462,0.059463935109390596,0.029648691985493216
K06916.01,0.027295060277755922,0.011608726338292392,0.0707708144107841,0.05916208807249171,0.02030098051872394
K03249.01,0.038068149038087536,0.015529576936208581,0.07433340730888201,0.05880383037267343,0.01910030515714492
K07747.01,0.05233675065835764,0.034076224721248445,0.09264439724959606,0.05856817252834761,0.022743863812907997
K03158.02,0.935402599337744,0.9004857839033181,0.9590478931139093,0.05856210921059113,0.019137304722182082
K02335.01,0.9292114061236365,0.895691845532888,0.9542327156642564,0.05854087013136833,0.021531853886867715
K00945.02,0.9547156771436092,0.9256132451760688,0.9839173687188131,0.05830412354274428,0.017595792384782982
K00244.02,0.9584054563975513,0.9134976389148205,0.9716819260983798,0.05818428718355928,0.017629447053630065
K02424.01,0.9243158952563597,0.8913034315219622,0.9492008267680119,0.05789739524604964,0.020624444250952053
K06220.01,0.04482344219876486,0.0223917160313183,0.08027572669788724,0.05788401066656894,0.01737193257237625
K02862.01,0.9081410230186,0.8758427843922285,0.9336960470405595,0.057853262648331016,0.01865613567386098
K02524.01,0.9656013993147559,0.9156916563080872,0.9733160347516918,0.057624378443604574,0.01893250933118762
K02818.01,0.05107264655117685,0.02497665755292522,0.08227798165082352,0.0573013240978983,0.018982707946699547
K00919.01,0.03561577183780039,0.01686389364599501,0.07398911901636122,0.05712522537036621,0.020071079534773516
K04166.01,0.9600908021297276,0.9269906753010649,0.9840083712625382,0.057017695961473214,0.016842018890715477
K06434.01,0.02379461460308078,0.011355801260295128,0.06836001791065716,0.057004216650362025,0.02907744015197578
K00586.01,0.9568502020289186,0.9231266807639412,0.9801047105668068,0.05697802980286559,0.01831202460775072
K00977.01,0.025223627379464156,0.02425670702551402,0.08118279589061303,0.056926088865099006,0.01933583023622484
K04085.01,0.015556871681801315,0.008516925147636424,0.0650500048930244,0.056533079745387974,0.019043613409598616
K00517.01,0.9353487200120144,0.9064082535582676,0.9627399551830017,0.05633170162473411,0.021530916180667114
K04045.01,0.027119270187626457,0.013313089129658612,0.06928244290163042,0.05596935377197181,0.016281612490599985
K07922.01,0.06998565126314629,0.04629579447872021,0.10217526252707523,0.05587946804835502,0.019251765588329663
K07014.01,0.023249839079620385,0.011285120580948861,0.06710605795550209,0.05582093737455323,0.0522887110266823
K03660.01,0.02640530258782543,0.016755351740508635,0.07208040663007967,0.05532505488957103,0.02165062852774294
K01238.01,0.9270663058529477,0.8966834671880354,0.9519730244260355,0.05528955723800011,0.017356635508855762
K07560.01,0.04934689672477468,0.025423289892022815,0.08033427377063793,0.05491098387861511,0.022401721140937334
K07671.01,0.07480380325850702,0.04671753987754692,0.1012893721122124,0.054571832234665475,0.01741699858957426
K03758.01,0.01546270043305906,0.007220726144554904,0.061756249734762375,0.05453552359020747,0.02391428568571042
K03026.01,0.9347013001778062,0.9051688490994144,0.9593818462351762,0.054212997135761776,0.01743534671132026
K02690.01,0.9391771483510731,0.9059644360322173,0.9597552346654011,0.05379079863318381,0.0178684401636665
K04206.01,0.03235512194767215,0.016607133026323773,0.07038395322388011,0.053776820197556335,0.02616346972155008
K01262.01,0.9388844451881153,0.9043346554422179,0.9580970486899846,0.05376239324776666,0.01811653648630273
K02348.01,0.9596578739634383,0.9310017731759392,0.984518411413458,0.05351663823751873,0.01942831473332912
K04568.01,0.056910214937742225,0.03555213559004307,0.08887968284075387,0.0533275472507108,0.018003200465837404
K01728.01,0.03447733285851541,0.009488624794081649,0.06273303170016611,0.053244406906084465,0.021314156231919318
K02887.01,0.011360465126169943,0.007209914311239901,0.06043554406857383,0.05322562975733393,0.016789765454542346
K01562.01,0.02387327866430497,0.015734840494203265,0.06811154623523058,0.05237670574102732,0.0315827705659342
K02582.01,0.9490699039153653,0.9129470896270189,0.9649130684686634,0.051965978841644556,0.018081434562125513
K00909.01,0.01067446772387874,0.008295669400732656,0.059780231619371474,0.05148456221863882,0.023605840403044143
K08023.01,0.020634340976504198,0.010629594093037958,0.06208344717024612,0.051453853077208164,0.019050538178919815
K06809.01,0.028968522369551553,0.01457592017273489,0.06582776138034947,0.051251841207614585,0.018538639606918653
K00399.01,0.0229889088466554,0.010518964137136542,0.06165689731330291,0.05113793317616636,0.01622322859278455
K07891.01,0.030166469178986615,0.014010411232713585,0.0651222545142343,0.051111843281520714,0.018759631849280627
K00246.02,0.9491920236350067,0.9169496875927967,0.9679533574271112,0.05100366983431448,0.01668094001434528
K07314.01,0.040329024539535185,0.022035189321052504,0.07283273352028825,0.05079754419923575,0.02541305307130502
K06800.01,0.030535577145671934,0.015203881905195763,0.06583787602926242,0.050633994124066654,0.022971154549770407
K02450.01,0.9438164732546244,0.9147354095617959,0.9652362464801282,0.05050083691833229,0.021014209912154854
K02174.03,0.9461898144571046,0.9149026928875145,0.9652325629612079,0.050329870073693384,0.018866280647566867
K01818.01,0.9500479286854396,0.9126925422680617,0.9629018939427433,0.050209351674681546,0.03480354232188294
K07323.01,0.02876102061763749,0.01254040315718303,0.06255397751839116,0.05001357436120813,0.015768188586660823
K00511.01,0.9476402002371926,0.9218912838286454,0.9715928279496714,0.04970154412102601,0.015143520051311117
K01196.02,0.9609493081679941,0.9199742061855962,0.969666355971621,0.049692149786024764,0.017544163029924835
K02485.02,0.9300986504146086,0.8954439599337463,0.9447720151379021,0.04932805520415584,0.015639924219489922
K07544.02,0.057155308024335584,0.046673857114220514,0.0959408252461772,0.04926696813195668,0.026928478230821326
K02681.02,0.9436927852019308,0.9145869098687235,0.963781177550782,0.04919426768205848,0.016237324337284035
K01061.01,0.943887088779942,0.9211610559640948,0.970072940325818,0.048911884361723224,0.015708051124392636
K01911.01,0.9511199228029577,0.9236065825034631,0.9724600083774058,0.0488534258739427,0.015647131200627988
K00936.02,0.838898874632872,0.806890470085677,0.8555628407515069,0.048672370665829856,0.020289428422878578
K02082.01,0.9511559997922165,0.9195704638242556,0.9682071727084638,0.048636708884208235,0.016244448498039007
